iter	Logloss
0	0.6927536487
1	0.6913747081
2	0.6903976253
3	0.6901715412
4	0.6894014857
5	0.689262829
6	0.6879494815
7	0.687370394
8	0.6864786382
9	0.6859806075
10	0.68539347
11	0.6851366207
12	0.6842233377
13	0.683273504
14	0.6827202597
15	0.6820010407
16	0.6816696623
17	0.6814361591
18	0.6810126978
19	0.6809086922
20	0.6807013097
21	0.6806629927
22	0.680396835
23	0.6803874404
24	0.6799819817
25	0.6798302839
26	0.6798181685
27	0.6792410495
28	0.6790716131
29	0.6787049582
30	0.6783670917
31	0.6783596756
32	0.6781534551
33	0.6771170993
34	0.6766422635
35	0.6758854987
36	0.6755892309
37	0.6754665903
38	0.6753221562
39	0.6742032969
40	0.673679905
41	0.6736071694
42	0.6734826321
43	0.6730078371
44	0.6725386301
45	0.672522968
46	0.6721084784
47	0.6719118426
48	0.6714686766
49	0.670839876
50	0.6700260622
51	0.6697961786
52	0.6697857861
53	0.6696159703
54	0.6695375719
55	0.6691098606
56	0.6689616201
57	0.6689615832
58	0.6689366356
59	0.6683399212
60	0.6673988677
61	0.6670934476
62	0.6670934202
63	0.6668953044
64	0.6666734923
65	0.666358015
66	0.6661316309
67	0.6661316155
68	0.6657686664
69	0.6657634081
70	0.6654997391
71	0.6653865732
72	0.6649415363
73	0.6645312923
74	0.6642907019
75	0.6638269931
76	0.6636076246
77	0.6634069046
78	0.663393632
79	0.6630907068
80	0.6630907048
81	0.6630906144
82	0.6630115201
83	0.6628452536
84	0.6626110184
85	0.6622474876
86	0.6618953272
87	0.6615982332
88	0.6614861145
89	0.6614861126
90	0.6610680974
91	0.6601604757
92	0.6600547272
93	0.6599244964
94	0.6595766067
95	0.658951534
96	0.6588533043
97	0.6587082526
98	0.6584368316
99	0.6583646425
100	0.6582855814
101	0.6575367228
102	0.6574875461
103	0.6572158227
104	0.6569403
105	0.6565675227
106	0.6561215508
107	0.6559311118
108	0.6554686308
109	0.6551574026
110	0.6551439205
111	0.6551345476
112	0.6547569323
113	0.6545096881
114	0.6542641709
115	0.6541926378
116	0.6537871985
117	0.6531551243
118	0.6527621023
119	0.652501566
120	0.6522722753
121	0.6522722752
122	0.6515233975
123	0.651020324
124	0.6505397267
125	0.6504955803
126	0.6502753818
127	0.650111955
128	0.6501119006
129	0.6500804337
130	0.6497466958
131	0.6494833481
132	0.6490856098
133	0.6488852937
134	0.6488852937
135	0.6486999638
136	0.6485082868
137	0.6481257411
138	0.6479845956
139	0.6479476805
140	0.6478944177
141	0.6478112498
142	0.6477210891
143	0.6477183945
144	0.6475181336
145	0.6471679527
146	0.646558655
147	0.6463363735
148	0.6460835877
149	0.6456918443
150	0.6455978492
151	0.6454109158
152	0.6449252159
153	0.6445798481
154	0.6436848921
155	0.643677314
156	0.6432506536
157	0.6430628038
158	0.6428081634
159	0.6424604704
160	0.6423058892
161	0.6419626617
162	0.6418946354
163	0.6417854854
164	0.6416642368
165	0.6415774278
166	0.6412739117
167	0.6411910065
168	0.6410260796
169	0.6409986975
170	0.6407278674
171	0.6402523196
172	0.6402037104
173	0.6399640405
174	0.6398268372
175	0.6396472287
176	0.6394853291
177	0.6394684264
178	0.6390840835
179	0.6389500298
180	0.6386059206
181	0.638241386
182	0.6380977554
183	0.6380213819
184	0.6379780657
185	0.6376409081
186	0.6375892213
187	0.6374398178
188	0.6373069652
189	0.6370403358
190	0.6367679061
191	0.6364249915
192	0.636158337
193	0.6357648291
194	0.635318112
195	0.6352322936
196	0.6347103747
197	0.6346747524
198	0.6343881925
199	0.6337842389
200	0.6336985386
201	0.6335898952
202	0.6333398152
203	0.6333356391
204	0.6329978506
205	0.6325892586
206	0.6321825519
207	0.6320780668
208	0.6319927328
209	0.6318737101
210	0.6313832395
211	0.6313061702
212	0.6312271495
213	0.6310347113
214	0.6309152129
215	0.6307356041
216	0.6304332743
217	0.6299906797
218	0.62976228
219	0.6297119462
220	0.6295795207
221	0.629524132
222	0.6294257795
223	0.6292631265
224	0.629147188
225	0.6288591133
226	0.6288366297
227	0.6286512297
228	0.6285832691
229	0.6285080289
230	0.6284025428
231	0.6281171447
232	0.6278194597
233	0.6275423297
234	0.6274569142
235	0.6270204178
236	0.6269791058
237	0.6268992444
238	0.6267548721
239	0.6264927877
240	0.6262253732
241	0.6258828677
242	0.6258435531
243	0.6253891017
244	0.624946253
245	0.6248629926
246	0.624827107
247	0.6247549319
248	0.6247084648
249	0.6243711457
250	0.6241674645
251	0.6238001755
252	0.6234759804
253	0.6233035238
254	0.623057215
255	0.6230025681
256	0.6226861013
257	0.622580115
258	0.6224979018
259	0.6224558496
260	0.621913055
261	0.6217343705
262	0.6215263908
263	0.6213152646
264	0.6211470408
265	0.6208950853
266	0.620682789
267	0.6204658574
268	0.6203583057
269	0.6201689192
270	0.6197492429
271	0.6197079312
272	0.6194988277
273	0.6189618165
274	0.6189561156
275	0.6187748917
276	0.618645412
277	0.6185185138
278	0.617934484
279	0.6177492477
280	0.6176302505
281	0.6175914032
282	0.617503428
283	0.6173764732
284	0.6167190078
285	0.6164595037
286	0.616423975
287	0.6163002528
288	0.6160340502
289	0.6159064597
290	0.6156454976
291	0.6156176037
292	0.6154229023
293	0.6152383099
294	0.6150576908
295	0.614795249
296	0.6142073586
297	0.6141076207
298	0.6140943392
299	0.61405274
