iter	Passed	Remaining
0	2	681
1	4	608
2	5	551
3	6	506
4	8	473
5	8	440
6	10	433
7	11	427
8	13	429
9	15	443
10	16	435
11	17	429
12	19	440
13	21	436
14	23	441
15	25	450
16	26	444
17	28	441
18	29	437
19	30	429
20	32	426
21	33	417
22	34	413
23	35	406
24	38	419
25	39	417
26	40	413
27	42	411
28	43	409
29	45	406
30	46	402
31	47	398
32	49	396
33	50	393
34	51	390
35	53	388
36	54	385
37	55	382
38	56	381
39	58	382
40	60	382
41	61	378
42	62	375
43	64	373
44	65	369
45	66	365
46	67	362
47	68	360
48	69	358
49	71	357
50	72	355
51	74	353
52	75	351
53	76	349
54	78	349
55	80	348
56	81	347
57	82	342
58	82	338
59	84	337
60	85	336
61	86	333
62	87	329
63	89	330
64	90	328
65	91	325
66	93	326
67	94	322
68	96	323
69	98	324
70	100	322
71	101	321
72	102	319
73	104	319
74	106	318
75	107	316
76	108	314
77	109	312
78	110	309
79	111	307
80	112	304
81	114	303
82	115	300
83	116	298
84	117	298
85	119	298
86	121	298
87	123	297
88	124	295
89	125	292
90	126	291
91	128	289
92	129	288
93	131	287
94	132	285
95	133	284
96	136	285
97	138	285
98	139	283
99	141	282
100	143	283
101	145	281
102	146	280
103	147	278
104	149	277
105	150	275
106	152	274
107	153	272
108	154	271
109	156	269
110	157	268
111	158	266
112	159	264
113	161	263
114	162	262
115	165	261
116	166	260
117	168	259
118	169	257
119	171	256
120	172	255
121	173	253
122	174	251
123	176	249
124	177	248
125	179	247
126	180	246
127	182	244
128	182	242
129	184	241
130	185	239
131	186	237
132	188	236
133	189	234
134	190	232
135	191	230
136	192	229
137	194	228
138	195	226
139	197	225
140	199	224
141	201	224
142	203	223
143	204	221
144	205	219
145	207	218
146	208	217
147	210	215
148	211	214
149	213	213
150	214	211
151	215	210
152	217	208
153	219	207
154	220	206
155	221	204
156	223	203
157	224	202
158	226	200
159	227	198
160	229	197
161	231	197
162	232	195
163	233	193
164	234	192
165	236	190
166	237	189
167	238	187
168	240	186
169	241	184
170	242	183
171	243	181
172	245	180
173	247	179
174	248	177
175	249	176
176	251	174
177	252	173
178	253	171
179	254	169
180	256	168
181	257	167
182	259	165
183	260	164
184	262	163
185	263	161
186	264	160
187	266	158
188	267	157
189	269	155
190	270	154
191	271	152
192	272	151
193	273	149
194	275	148
195	276	146
196	278	145
197	279	144
198	280	142
199	281	140
200	283	139
201	284	138
202	286	136
203	288	135
204	290	134
205	291	133
206	292	131
207	294	130
208	295	128
209	296	127
210	298	126
211	300	124
212	301	123
213	302	121
214	304	120
215	305	118
216	306	117
217	308	115
218	310	114
219	311	113
220	312	111
221	313	110
222	315	108
223	316	107
224	317	105
225	319	104
226	320	103
227	322	101
228	323	100
229	324	98
230	326	97
231	327	96
232	328	94
233	330	93
234	331	91
235	333	90
236	334	88
237	336	87
238	337	86
239	338	84
240	339	83
241	340	81
242	342	80
243	343	78
244	345	77
245	346	75
246	347	74
247	348	73
248	350	71
249	351	70
250	353	69
251	354	67
252	356	66
253	357	64
254	359	63
255	360	61
256	361	60
257	362	59
258	363	57
259	365	56
260	366	54
261	368	53
262	369	51
263	370	50
264	371	49
265	373	47
266	374	46
267	376	44
268	378	43
269	380	42
270	381	40
271	382	39
272	384	37
273	385	36
274	387	35
275	389	33
276	390	32
277	391	31
278	393	29
279	394	28
280	396	26
281	397	25
282	398	23
283	400	22
284	401	21
285	402	19
286	404	18
287	405	16
288	406	15
289	407	14
290	408	12
291	410	11
292	411	9
293	413	8
294	414	7
295	415	5
296	417	4
297	419	2
298	420	1
299	421	0
